id,review,date,rating
croc_review_11,"A CROC OF A TRIAL - These ""CROCS"" are very comfortable in bare feet, moreso than expected. AND they LOOK just about FINE. ONE THOUGH they are awfully DORKY with socks on... I wear them almost constantly since they arrived. These ""CROCS"" are incredibly comfortable...With or Without the straps at the rear. They stick with you...AS A MANLY MAN, it is quite difficult to begin wearing a shoe such as this, HOWEVER, I am wearing them everywhere that I go....GREAT JOB TO ALL OF YOU AT CROCS!!!!!!!!!!!!!!!","July 13, 2006",5.0
croc_review_14,A birthday gift for my daughter. She loves them for their comfort.,"July 27, 2021",5.0
croc_review_19,A gift for my Mt granddaughter. Her favorite color is a day they are comfortable.,"September 27, 2022",5.0
croc_review_21,A gift for my daughter in the medical field. No problems,"February 19, 2022",5.0
croc_review_23,"A gift for my grandson, and he loves them.","March 27, 2021",5.0
croc_review_24,A gift for my nephew! He loved Crocs. I get him that every year.,"December 14, 2021",5.0
croc_review_25,"A gift for my son's girlfriend, and she loves them! They were exactly what she wanted!","September 21, 2021",5.0
croc_review_27,A gift that was very much appreciated.,"April 5, 2023",5.0
croc_review_30,"A great option for house/pool shoes. Was looking for something with more protection than flip flops as my toddlers like to drop toys on my toes. And something convenient for when we go swimming at the rec center. I usually wear a true 6.5. Ordered the 6 as it was my recommended size, but returned bc even though the fit was exact, it was a little too snug for my liking. So I returned for the 7.","January 19, 2022",5.0
croc_review_36,"A great shoe! My son loves it and is very comfortable and roomy for his foot. They rarely get dirty, and if they do, just put them under a hose, and they are clean. So easy!","July 9, 2012",5.0
croc_review_39,"A great, comfy shoe, purchased for my boss for his birthday, and he only wears flip flops. Now he only wears these Crocs. Light, breathable, and they cover up his crazy, nasty toenails.","March 3, 2011",5.0
croc_review_40,"A lil different color than I thought, but the cutest with the croc gems!","May 4, 2021",5.0
croc_review_44,"A little bit wider than I had anticipated/expected and a little shorter in terms of length. I think this may have to do with the ""unisex"" status -- perhaps it would be better to have women's and men's separate.","April 8, 2012",4.0
croc_review_45,"A little brighter than the intended pastel, but still wearing them now with my jibbitz... in love  3","March 17, 2021",5.0
croc_review_43,A little bit but they still love it.,"September 14, 2021",5.0
croc_review_47,A little small can buy me a size bigger.,"September 12, 2021",5.0
croc_review_49,"A little too wide as far as fit goes, but they were excellent for playing in the river and walking on slippery rocks.","July 9, 2021",4.0
croc_review_50,"A long wait, but I love them!!","April 11, 2023",5.0
croc_review_51,A lot smaller than my other pair and are the same size. I even went to a mall that had a croc store and tried on the same size I bought and it fit better.,"October 23, 2021",2.0
croc_review_53,A must have for extremely sore feet!,"April 24, 2021",5.0
croc_review_62,"A true go anywhere, do anything shoe. Bought them for boating but have been using them around the house and to go out.","August 5, 2021",5.0
croc_review_63,"A trusted summer classic by now, it does what it needs to do and adds charms for a little more individuality.","August 2, 2022",5.0
croc_review_2456,"I have been wearing them ever since I received them! My sister is getting married soon, and we are supposed to wear crocs! This will be perfect! :)","April 2, 2021",5.0
croc_review_66,"AMAZING! They're kinda dorky but somehow also kinda cool?! The ice blue color is perfect, and they're sooooo comfy. Love love love.","August 11, 2021",5.0
croc_review_67,AMAZING!!! Super comfortable and I love that you can personalize them!,"August 24, 2021",5.0
croc_review_68,Absolutely FANTABULOUS!!!! I LOOOOOOOOOVE MY CROCS!!!,"December 21, 2021",5.0
croc_review_69,"Absolutely LOVE these! I wear them all the time as my go-to shoe instead of sandals or slides. I bought a black pair, too, and I will definitely be building my collection!","April 21, 2021",5.0
croc_review_70,"Absolutely LOVE these! I wear them all the time as my go-to shoe instead of sandals or slides. I bought a white pair, too, and I will definitely be building my collection!","April 21, 2021",5.0
croc_review_71,"Absolutely fantastic. My only pair of Crocs (classics) are from when they first hit the market, so these are the backups.","December 18, 2022",5.0
croc_review_1360,I absolutely fell in love with the color!,"June 2, 2021",5.0
croc_review_72,Absolutely love my fist pair of Crocs! Extremely comfortable.,"August 30, 2021",5.0
croc_review_73,"Absolutely love my new Crocs! I have never owned a pair, but once both my 16 year old daughters got them for work as waitresses and couldn't stop saying how comfortable they were, I broke down and got myself a pair! Now- I wear them 24/7!","December 14, 2021",5.0
croc_review_74,Absolutely love my new green crocs. The color was everything I was expecting it to be. I love the fashion statement I can make when I wear them and the comfort and convenience of a pair of crocs.,"April 17, 2022",5.0
croc_review_76,Absolutely love the Orange Zing! Now they need to make them with the fuzzy lining!,"February 11, 2022",5.0
croc_review_77,"Absolutely love the color, and they are so comfortable to wear all day.","March 24, 2021",5.0
croc_review_78,"Absolutely love the comfort of these Crocs. The color goes great with most of my wardrobe, so I'm very pleased.","May 13, 2021",5.0
croc_review_75,Absolutely love the Crocs. They look great and feel great. I love all the accessories. Thank you so much. I will purchase again in the future.,"March 28, 2022",5.0
croc_review_79,"Absolutely love the purple crocs. They are the cutest things, and I get so many compliments!!","March 31, 2021",5.0
croc_review_83,"Absolutely love them!! They are nice and roomy and fit well. Currently, I am working on collecting more colors.","August 27, 2021",5.0
croc_review_80,Absolutely love them and they are very comfy  333,"April 22, 2021",5.0
croc_review_81,Absolutely love them! I wear them to work and when doing work outside; great for both occasions.,"May 12, 2023",5.0
croc_review_82,"Absolutely love them! They were a birthday gift for my mother in law, and she loved them!","March 16, 2023",5.0
croc_review_86,Absolutely love them. They are great for the beach!!,"June 1, 2021",5.0
croc_review_85,"Absolutely love them. I'm a 8 and a half in women's shoes, so I went with an 8 and they fit perfectly! They came a little bit darker than in the picture, but that's what I wanted because I didn't want them too light.","May 15, 2022",5.0
croc_review_84,Absolutely love them. I wear them every day.,"March 17, 2021",5.0
croc_review_89,Absolutely love these! The color is to die for.,"April 24, 2021",5.0
croc_review_88,Absolutely love these crocs! My favorite color!,"March 22, 2021",5.0
croc_review_90,Absolutely love these. They fit perfectly and look so cute on my daughter.,"April 1, 2021",5.0
croc_review_92,Absolutely love. Roomy and all day comfort.,"March 28, 2021",5.0
croc_review_93,Absolutely perfect every time. All I wear is crocs.,"August 30, 2021",5.0
croc_review_95,"Absolutely perfect: the first pair came damaged, and they were instantly replaced with great service and an awesome product. I love my Crocs. They are the only shows I wear.","May 23, 2021",5.0
croc_review_96,Absolutely pleased. I sized up 1 and wear them at work in a hospital. Sooo much better for my feet and Achilles problems.,"April 25, 2021",5.0
croc_review_97,Absolutely the most comfortable shoes to clean in!!!!,"August 24, 2023",5.0
croc_review_98,"Actually, I bought the Crocs for my son - he loves them. I have to have a lift in one shoe, so I can't wear them. However, my son absolutely loves them - he works in a bakery and wears them for work - on his feet all day - he wears them for everyday wear as well. He always says it's too bad that I can't try them. He has 4 pairs now - his wife wears them too. My star rating is based on what they tell me.","September 23, 2011",5.0
croc_review_99,Add some jibbits and change your day!,"May 5, 2021",5.0
croc_review_1404,"I added ""The Child"" Grogu charm, and my daughter loves it!","April 15, 2021",5.0
croc_review_1405,"I added darker purple to my collection! I prefer the baya clogs, but not all colors come in that color.","December 10, 2021",5.0
croc_review_1406,I added my Jibbitz charms and wear them every day! I love the pink color!,"May 6, 2023",5.0
croc_review_1407,I added this pair to my collection.,"November 6, 2022",5.0
croc_review_100,"Adorable pop of color, super comfy","April 24, 2022",5.0
croc_review_101,Adult crocs are a wide and is not true to size size down.,"April 22, 2021",1.0
croc_review_102,"After 15 years of wearing my classic crocs, I purchased a new pair. I wear them daily as slippers. They are durable and comfortable.","March 16, 2021",5.0
croc_review_103,"After 2 days, the clasp that connects the strap to the shoe unclipped didn't stay on after looking at it. It looks like it wasn't made correctly; it was missing the plastic that holds the strap to the shoe. I ended up crazy glueing it so it would hold.","June 11, 2022",1.0
croc_review_104,"After a backordered situation with the color Hot Pink, the Hot Pink Crocs arrived defective. The right shoe strap was oversized; it was floppy and didn't fit my heel like the left Croc. I will need to return the Crocs rather than exchange them because the color is never in stock. So disappointed, I was excited to receive my Zappos box.","June 22, 2021",1.0
croc_review_105,"After a long week, I wore them all weekend long, and my legs felt great!!!","April 5, 2022",5.0
croc_review_106,"After excitedly trying these on, I realized that the plasticky feeling nubs inside these Crocs were not for me. The bumpy nubbly sole bothered the soles of my feet. I was too aware of the soles of my feet & this particular style of Crocs drove me batty. I need furry lined Crocs so that my feet are happier!","December 26, 2021",3.0
croc_review_113,"After the first wear, they started to look worn excessively.","December 24, 2021",2.0
croc_review_107,"After having many pairs over the years, the quality of late seems hit or miss. The sizes fluctuate, and the bumps inside the shoe are getting more irritating with each new pair.","July 19, 2021",2.0
croc_review_108,"After having surgery on my knee, I was looking for a comfortable shoe with support. I fell in love with the color purple, and chose a size 8. I usually wear an 8 1/2. They fit perfect and are so comfortable, I wear them to work, and my feet or knee does not hurt at the end of the day. The width is just right since I also have wide feet.","November 26, 2021",4.0
croc_review_109,"After having tried on a few pairs in store to be sure of the fit, I ordered w8 in mineral blue and orange sorbet. The mineral blue came and fit absolutely perfectly. They're super comfortable and feel great. The orange sorbet, a new color, is completely different. It's longer, wider, thicker, boxier, both visually and in feel. It fits completely different. It also feels like a different density/cushiness from the crocs I know and love. Additionally, the inside had a different texture - it's smoother, which feels like it'll cause blisters, and the little nubs are smaller and more subtle; definitely much less comfy. I wish crocs would cover return shipping; I ordered from this website hoping for consistency, or these are either defective or the new colors are way different and much worse.","August 15, 2021",1.0
croc_review_110,"After many months of trying to convince my husband to get a pair, he caved in, and his only complaint was why did he wait. He uses them indoors, more like slippers but loves them.","September 28, 2021",5.0
croc_review_111,"After more than 15 years, I've traded in my black Crocs for an orange/red ala Mario Batatlie. I LOVE THEM! Comfortable, stylish, and ""cool"". I'm a 75-year-old male, and if anyone thinks they're too flashy, TO BAD!","August 26, 2022",5.0
croc_review_112,"After seeing Nicki, I want a pair for everyone in the family. Please add her face, and you have a deal.","May 11, 2021",5.0
croc_review_115,"After years of resisting, I am now a full croc supporter. The pistachio classic crocs are comfortable, convenient, and so much fun!","February 3, 2022",5.0
croc_review_117,"Again, so comfortable for daily wear.","August 24, 2021",5.0
croc_review_116,"Again, I use these around the house. They are only comfortable with socks on.","August 21, 2023",4.0
croc_review_118,"Alas and alack, I ordered these due to a nurse SWEARING they were the best thing EVER. But they were WAYY too big for my size 7 foot. I felt like a kid wearing the parents' shoes, and that was putting them on with heavy winter socks. I have since returned them.","January 12, 2023",2.0
croc_review_120,"All I can say is: ""I LOVE my Crocs!""","December 9, 2022",5.0
croc_review_119,"All I can say is thank you, Crocs!!","November 22, 2022",5.0
croc_review_121,All I wear is crocs; they're comfortable and easy to wear.,"January 18, 2022",5.0
croc_review_122,All comfort fits in a rainbow of colors.,"May 1, 2022",5.0
croc_review_123,"All crocs are comfy, and black is a must have.","December 11, 2022",5.0
croc_review_124,All day long around the house.,"March 30, 2021",5.0
croc_review_125,All of the comfort I've come to expect from my Crocs. It misses a 5-star because I thought it would be more orange.,"September 1, 2021",4.0
croc_review_126,"All the kids in my son's school are wearing crocs because they love them. Many younger kids, teens, and young adults in our city wear crocs.","September 12, 2021",5.0
croc_review_127,All the time around the house.,"March 14, 2023",5.0
croc_review_128,"All's good. Very comfy and easy on, easy off.","May 11, 2022",5.0
croc_review_1408,"I almost died in a bad accident eighteen years ago, and Crocs are the only show I can wear with no pain!","July 23, 2021",5.0
croc_review_130,"Although I got baby blue, the crocs fit well.","August 29, 2021",5.0
croc_review_131,"Although they are marked as 8s, they're the size of my 7s.","March 6, 2023",3.0
croc_review_132,"Always a classic, it always fits well.","July 9, 2022",5.0
croc_review_133,Always a comfortable pair! I'm so glad I found a neutral color to work with any outfit I want to wear crocs with.,"January 3, 2023",5.0
croc_review_135,"Always a great fit, good color.","March 17, 2023",5.0
croc_review_136,"Always a great fit. I have worn Crocs for many, many years because of a heel spur. They are wonderful and always cradle my foot beautifully.","May 24, 2021",5.0
croc_review_138,Always a great product. Great to wear at home and anywhere you go.,"May 24, 2021",5.0
croc_review_1251,He is always a winner for our family.,"April 7, 2021",5.0
croc_review_139,Always comfortable and great for walking in the rain,"October 2, 2021",5.0
croc_review_140,Always comfortable and reliable -- though I wish it had a less slippery and more durable sole.,"August 8, 2021",5.0
croc_review_141,"Always good, wear them all the time. A fast, easy transaction.","July 8, 2023",5.0
croc_review_137,Always a great product and fast shipping,"August 25, 2021",5.0
croc_review_8016,They are always great shoes; they last forever and look great.,"April 30, 2022",5.0
croc_review_142,Always great! I'm a women's 7.5/8. I got these in a 7. Perfect fit.,"March 22, 2023",5.0
croc_review_1419,I always had black and I love this grey!,"April 24, 2023",5.0
croc_review_144,"Always just right. They run large, as all Crocs do. But I wear these with argyle golf socks, and they are great!!!","July 28, 2021",5.0
croc_review_1420,I always love my Crocs! Customer service is always fantastic and on time. Thanks again!,"September 12, 2021",5.0
croc_review_1421,I always love my Crocs. I love the color.,"November 24, 2021",5.0
croc_review_145,Always my fave and fit the best.,"April 21, 2021",5.0
croc_review_146,"Always my go to when ordering from Crocs. Always comfortable, can go wherever whenever, however long.","June 17, 2021",5.0
croc_review_5104,"It was always so comfortable, and the price was just as comfortable.","January 18, 2022",5.0
croc_review_147,"Always so comfortable!!! Bought 3 pairs for my family after being given a free pair for healthcare workers last year. Thank you, I'm a customer for life now!!!!","December 15, 2021",5.0
croc_review_5003,It is always so comfortable. I usually wear crocs all the time.,"July 29, 2021",5.0
croc_review_5004,It is always what I need and expect.,"June 7, 2022",5.0
croc_review_1432,I always wore clogs at work and now retired. I still wear them. They are comfortable with or without socks. I love all the colors. Wear lined ones in winter; they are warm.,"April 2, 2022",5.0
croc_review_1490,"I am returning as the Croc was too small. Absolutely loved the shade of pink. Will soon be buying the next size up. Thank you,","March 16, 2023",5.0
croc_review_162,"Amazing. I love it, and would recommend it to anyone and everyone one.","June 30, 2021",5.0
croc_review_166,"Amazingly, I wear them all the time!","April 15, 2022",5.0
croc_review_148,"Amazing Simplicity- I had to chime in on the Crocs rage. This is all you need for footwear. The comfort cannot be beat. In a nutshell, they are light, airy, and carefree. Forget the socks! Who needs them? They don't get smelly. How many shoes can be worn without socks = smelly? None I have found. They float if you drop one in the lake. If you do not like the look of the strap, it comes right off. Functional performance footwear that rivals any thing you can put on your feet.","March 2, 2006",5.0
croc_review_149,"Amazing and a true size fit for your feet. Very comfortable, fast on time shipping. I have no complaints.","February 24, 2022",5.0
croc_review_151,"Amazing as usual. I am an avid croc wearer, and these are great! Super cute color in the mint green and I was so happy to get a great deal on them here at Zappos!","November 28, 2021",5.0
croc_review_152,Amazing color and comfort. I love them.,"October 19, 2021",5.0
croc_review_160,"Amazing, my boyfriend loved his crocs! I have my own pair and wanted him to feel how comfy they are. lol","December 5, 2021",5.0
croc_review_5005,It is amazing that my kids love them and last long and are comfortable.,"December 10, 2022",5.0
croc_review_153,"Amazing shoes, 2nd pair I bought in a few months and bought a pair for my boyfriend as well. One complaint is the sizing though, a bit large compared to other shoes. Had to make a return and size down because they were too big for my boyfriend. Otherwise, perfect! Definitely will buy more sooner or later.","July 5, 2021",5.0
croc_review_154,"Amazing shoes; I wear them every day at our house. My feet always hurt, and these give me relief! If you're a half size, I would size up if you plan on wearing the heel strap (it takes some length off the shoe). I am usually an 8.5, and 9s were perfect. I'll be ordering a second color soon!","April 2, 2022",5.0
croc_review_161,"Amazing, so comfortable to wear anywhere.","August 25, 2021",5.0
croc_review_5006,It is amazing they look awesome & feel great.,"March 26, 2022",5.0
croc_review_164,Amazing. You bought it for my teacher. She was so excited and happy she loved them.,"January 8, 2022",5.0
croc_review_156,Amazing! Super comfortable. I use them for work!,"August 26, 2021",5.0
croc_review_157,"Amazing!!! I really love these shoes! Lots of cushioning, and they never wear out!","April 3, 2021",5.0
croc_review_158,Amazing!!! I went vacationing where it was wet and muddy. These crocs held up great!!!!,"July 26, 2021",5.0
croc_review_155,Amazing! I love them and so does my son.,"June 11, 2022",5.0
croc_review_163,"Amazing. If you normally wear a half size, go with the smaller size.","November 26, 2021",5.0
croc_review_165,Amazingly more comfortable than my old crocs.,"March 28, 2021",5.0
croc_review_167,An adorable color and the comfortability is unmatched. I love that they are so easy to clean and I can wear them absolutely anywhere!,"July 15, 2021",5.0
croc_review_170,Another beautiful creation. These are definitely a statement piece.,"July 24, 2023",5.0
croc_review_171,Another color the boys like winter or summer time; clogs are all they wear.,"August 4, 2023",5.0
croc_review_172,Another great Crocs clog to enjoy.,"July 29, 2022",5.0
croc_review_173,"Any day, Anywhere Crocs- These are the most comfortable shoes my husband says he has worn in years. At first, they were a little too big, but he decided to wear a little thicker socks. He likes the fact that you can just wash them off in the tub or under a hose. He will definitely buy them again.","January 3, 2006",5.0
croc_review_174,Appreciate the lightweight quality. Will be very packable for trips. This is the only shoe whose back strap actually stayed in place as you walked. But how great you have the option of sliding it up & away when not needed.,"September 18, 2021",5.0
croc_review_175,"Army Green Crocs for a Christmas gift for my daughter! We love our Crocs, and I know she'll be thrilled! You can NOT go wrong with a Crocs gift!!","November 10, 2021",5.0
croc_review_176,Around the and I really like them.,"June 25, 2023",5.0
croc_review_177,Around the house and on dog walks!,"March 19, 2021",5.0
croc_review_178,"Around the house and yard. Occasionally, I drive in them. They look nice but are too big.","August 6, 2021",3.0
croc_review_180,"Arrived a week late, with a scuff on the front.","December 15, 2021",1.0
croc_review_4923,"It arrived just in time for me to be able to use it over an air splint on my right foot. That wasn't why I bought them, but it certainly was lucky that I had ordered them.","January 11, 2022",5.0
croc_review_181,"Arrived on time and in the correct size. I usually wear at least 2 pairs a year. I walk a lot and only wear them. It is getting harder to get them in my size, 14. I cannot wear the other types, only the classic. Wish I could get more colors, but they never have my size.","August 9, 2021",4.0
croc_review_182,Arrived on time. The correct size was sent. The color is beautiful.,"April 9, 2021",5.0
croc_review_183,"Arrived on time. They fit a little smaller than the crocs I already owned, and I purchased the same size, but overall, I was pleased with my order.","August 25, 2021",5.0
croc_review_185,Arrived quickly and were so comfortable!!!!,"March 31, 2021",5.0
croc_review_186,"Arrived quickly in good condition, shipping was good... Disappointed that they didn't fit. Ordered women's size 9 and received Unisex 7/9. Far too wide for me to wear comfortably. Gave them to those in need. Made sure to select women's in sizing and still got the unisex m/w. Nowhere in the description did it indicate the sizing would be anything other than women's... Felt a bit duped.","August 1, 2023",2.0
croc_review_184,Arrived quickly and instantly comfortable. I love them!,"April 6, 2021",5.0
croc_review_187,Arrived sooner than expected and looked exactly like the picture.,"December 17, 2021",5.0
croc_review_188,Arrived when it should have. But they were dirty and had black streaks on the band. The Crocs are white. That was disappointing.,"October 20, 2021",3.0
croc_review_189,"As Always, I love my basic crocs!","August 31, 2023",5.0
croc_review_190,"As I sit patiently and painfully awaiting the news about whether my right foot needs surgery, I treat myself to a new pair of crocs. I cannot bear weight on my foot, cannot use the doctor recommended inserts, everything causes more pain and discomfort than my crocs. It's a night and day difference. I haven't used my cane in two days since they arrived. I used to make fun of Crocs, but I'm a converted Croc wearer now. The color was as expected; I ordered a size too small, but the generous toe box and width make them not only wearable but comfortable. I will still order my correct size for the next pair, but these (clogs with straps) are still wearable for daily use.","July 27, 2021",5.0
croc_review_191,"As a caregiver, I live in your shoes. My family always steals them, so I bought them their own. :)","July 4, 2021",5.0
croc_review_192,"As a connoisseur of the finest dweeby footwear like Bedrocks, Birkenstocks, Teva's, and Crocs, I own two pairs of Crocs. I use mine for life. I have an all white all-terrain pair that are used for ""formal"" events, and a navy blue pair for just hanging out vaping and playing pogs in my man cave with my league team.","May 3, 2022",5.0
croc_review_193,"As a disabled person that deals with pain daily, it was such a relief to wear shoes that offered so much comfort.","April 16, 2021",5.0
croc_review_194,"As a first time Croc buyer, my husband found the Classic Clog to be not as comfortable as the All-Terrain Clog, but still really likes his Classic Clogs.","February 17, 2023",4.0
croc_review_195,"As a kid, I wore my Crocs all the time. I forgot how comfortable these shoes are! Lightweight and breathable. I love the bright color!","May 18, 2023",5.0
croc_review_196,"As a long time Crocs wearer, I continue to like them.","July 6, 2021",5.0
croc_review_197,"As always, Crocs are great. My husband wanted a pair to match our son. Our discount code wasn't working, but support immediately helped and was able to figure everything out. He is a true 12 year old, and these fit perfectly.","June 6, 2022",5.0
croc_review_198,"As always, Crocs are very comfortable and great in the garden! Just hose 'em off, and you're ready to go. Super fast overnight shipping! A pleasure doing business with such a customer-oriented company! Thanks!","June 15, 2011",5.0
croc_review_202,"As always, the best boat shoes ever. And they float. My husband is a sailboat captain on Hilton Head Island, SC.","June 2, 2021",5.0
croc_review_204,"As always, they are super comfy and good quality! I love my Crocs!!","October 26, 2021",5.0
croc_review_199,"As always, I LOVE these shoes. I instantly went to the Croc store near me and got my daughter a pair and bought some charms for us both.","October 11, 2021",5.0
croc_review_200,"As always, I bought from Zappos because they have the product (I love Crocs!), and I know it will get delivered in a timely manner. Thanks Zappos!","September 9, 2011",5.0
croc_review_201,"As always, I continue to be infatuated, yo, with Crocs. I have like nine pairs, yo, and am excited by my most recent pair as I was by the first pair some twenty suns ago. Yo!","February 7, 2022",5.0
croc_review_203,"As always, they are extremely comfortable. I've been wearing them for years.","April 9, 2022",5.0
croc_review_205,"As always, your service was great and the Crocs are fabulous. There is not much in this economy that can be counted on these days-but thank goodness Zappos is the same dependable company with the same reliable, friendly customer service.","June 11, 2012",5.0
croc_review_206,"As comfy as the classic crocs I bought 12 yrs ago! I personally love the color, not yellow and not orange, but somewhere in between, in its own galaxy. I have my eye on one other color.","September 12, 2021",5.0
croc_review_207,"As expected save for the weird surface inside. Didn't care for that, but I was getting used to it.","September 19, 2021",4.0
croc_review_208,As expected. Everything was great and was here by Easter! Yay! No one else could ship it on time or had the size I needed!,"April 22, 2022",5.0
croc_review_210,"As expected. These were for my 14-year-old daughter. I took a star off because I still think they should not be $50! A little too much for this type of shoe, IMO.","September 26, 2021",4.0
croc_review_209,As expected. Nothing like a classic clog.,"August 26, 2021",5.0
croc_review_211,"As far as style is concerned, they are what they are. Because of this, I have looked them over when searching for more attractive comfort shoes. I have found more stylish shoes - even tried more stylish Crocs (which hurt my feet) - before I gave in and tried this classic style. They do not seem to have the arch support I need, but bottom line: they do not hurt my feet. I bought four more pairs. They have been my go-to shoes this summer - I am even starting to wear them outside of the house and I do not mean the garden, but I wear them there, too.","June 6, 2015",5.0
croc_review_212,"As for my husband, he seems a little too big.","April 11, 2022",4.0
croc_review_213,"As for the product, I would buy that again. But when I bought the crocs, I purchased the wrong size. There should be an easier way to exchange for a different size than sending them back for a refund and re-purchasing them.","August 3, 2022",3.0
croc_review_214,"As good as the ones I War out, size fits perfect, and I love them for years.","July 18, 2021",5.0
croc_review_215,"As others have commented, these shoes are quite large - I guess they are supposed to be that way. It took a little practice to walk in them. The heel strap makes it harder to slip on/off but really helps keep them on while walking. Overall, it works well as a slip-on shoe for going outside when the ground is wet or muddy.","November 14, 2011",4.0
croc_review_217,"As usual, it is extremely comfortable, fits to size, and was the exact color match I needed for a hat I have.","March 16, 2023",5.0
croc_review_216,"As usual, great delivery in a day and product, also as usual, very comfortable and the handiest shoe to throw on in a hurry!","May 18, 2012",5.0
croc_review_218,"As usual, the classics she is always great at!","May 13, 2021",5.0
croc_review_219,Asesome and Zappos is super quick.,"May 18, 2021",5.0
croc_review_220,"At first, I didn't like the color, but they match my wardrobe.","November 11, 2022",5.0
croc_review_221,"At first, I had a hard time debating whether I wanted them or not, but once I did, I can't stop wearing them!","May 23, 2021",5.0
croc_review_222,"At first, I had my doubts about receiving the shoes! I opened the bag, and they looked huge! I tried them on, and at first they seemed big, but over time (2-3days lol), they seemed to be pretty comfortable around the house! I am a size 6.5, and I bought a size 7 for a more roomy fit. Get 6 for a more tight fit like a sneaker!","April 21, 2021",5.0
croc_review_223,"At first, I thought they would be too big, but after a wear, they feel so comfortable.","October 26, 2021",5.0
croc_review_224,"At first, I was concerned about how a shoe and sandal would be comfortable for working in healthcare, but they really proved to be an airy and soft shoe for all day wear.","September 20, 2021",5.0
croc_review_225,"At first, I was like ooo CROCSSS, but bro, I don't think it's a joke anymore :))","July 21, 2021",5.0
croc_review_226,"At first, I was skeptical, but they are very comfortable shoes.","September 9, 2021",5.0
croc_review_227,"At first, they made my feet hurt, but I just had to stretch them out. Now they fit great, and they're very comfortable.","July 14, 2021",5.0
croc_review_228,"At first, they were like any other shoe/sandal. But after walking around the house for a few hours, I noticed that they were different. I stand on my feet for 10 hour shifts 6 days a week. They are the most comfortable shoes ever. I love them","October 3, 2021",5.0
croc_review_229,At least 2 sizes smaller and don't seem to be made the same as the pair I bought 7 years ago.,"December 26, 2021",1.0
croc_review_230,"At this point, the reviews write themselves, downright the most comfortable and durable shoes out there. My whole family loves them, especially my toddler.","December 14, 2021",5.0
croc_review_231,"At work, I am on my feet all day; I tried your cross, and now my feet don't ache when I get home. I understand why first responders wear them.","May 24, 2021",5.0
croc_review_232,"Ava: I will have to get hold of him tomorrow. If you need anything, let me know when I can get him on the phone and I can help you out on his way to help me out and then I can do that for you too. I can help him with the details. I can help you out, and I will let you know if I need to help you out and I will have to go to the bank and get some more of","March 31, 2023",5.0
croc_review_233,Average at best... not as comfortable to me.,"July 19, 2022",3.0
croc_review_234,"Average price, fast delivery, and great comfort!","October 11, 2021",5.0
croc_review_9197,awesome! Super comfortable and fast shipping!,"May 11, 2021",5.0
croc_review_9190,awesome I wear them every time I can,"April 23, 2022",5.0
croc_review_9191,awesome as all Crocs are - just with a really pretty purple color.,"April 7, 2021",5.0
croc_review_168,"An awesome color, exactly what I wanted. I will continue buying Crocs forever.","April 10, 2021",5.0
croc_review_5008,It is awesome for after I play basketball or workout. It has a super high level of comfort and is easy to walk in.,"April 26, 2021",5.0
croc_review_169,An awesome gift for my best friend; she loves how easy it is to take on and off and it's super comfy. Love the different colors too!,"April 8, 2021",5.0
croc_review_9193,"awesome light and convenient, perfect for the kids!","November 25, 2022",5.0
croc_review_9194,awesome shoes!! My favorite work shoes by far.,"April 22, 2021",5.0
croc_review_9195,"awesome shoes, my fourth pair. There is no substitute for real crocs!","May 25, 2022",5.0
croc_review_5009,It is awesome to wear when you are working or lounging around.,"April 13, 2021",5.0
croc_review_5106,It was awesome! It arrived in a reasonable time!,"March 28, 2023",5.0
